QC,Merry Rounders,Rds,"Edwards Congregational United Church of Christ, 3420 Jersey Ridge Rd, Davenport",Jim & Linda Kuhle,7:00 - 9:00,,,,,,,
SE,Circle Square B Promenaders,M,"IOOF Hall, Wever",Tom Manning,6:30 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,manning.png,,,
,WEDNESDAY,,22 OCTOBER,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr. E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,23 OCTOBER,,,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd Street, Davenport",Don  & Doug Sprosty,7:00 - 9:30,,,,,,,
,FRIDAY,,24 OCTOBER,,,,,,,,,
EC,Rapid Eights,MP,"Toddville Legion Hall, 3275 Otter Rd, Toddville",Jim Williams/Gary Smith,7:00 - 9:30 Falling Leaves (Halloween),,,,,,,
,Triple G's,MPR,"Gilbert Elementary School Gym, 109 Rothmoor Dr",Kevin Bersing/Ed & Pat Schneiders,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,,,,
SE,Petticoats Junction,MP,"Humeston Community Center, 100 N Eaton, Humeston",Mike Hogan,7:00 - 9:30 Masquerade Ball,,,,,,,
,SATURDAY,,25 OCTOBER,,,,,,,,,
,Ankeny Squares,,"St. Paul Lutheran Church, 1100 SE Sharon, Ankeny",Chuck Veldhuizen/JCM,7:00 - 9:30,ankeny_logo.jpg,"42.5234,-92.4416",ankeny.txt,,,,
,SUNDAY,,26 OCTOBER,,,,,,,,,
SE,Dudes 'n' Dolls,MP,"1st Presbyterian Church, 228 W. 4th St., Ottumwa",Tom Manning,2:00 - 4:30 Harvest Dance,,,,,,,
,MONDAY,,27 OCTOBER,,,,,,,,,
,TUESDAY,,28 OCTOBER,,,,,,,,,
QC,Merry Rounders,Rds,"Edwards Congregational United Church of Christ, 3420 Jersey Ridge Rd, Davenport",Jim & Linda Kuhle,7:00 - 9:00,,,,,,,
SE,Circle Square B Promenaders,M,"IOOF Hall, Wever",Tom Manning,6:30 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,manning.png,,,
,WEDNESDAY,,29 OCTOBER,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr. E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,30 OCTOBER,,,,,,,,,
QC,Acey Duceys,A2,"Edwards Congregational United Church of Christ, 3420 Jersey Ridge Rd, Davenport",Tom Manning,6:30 - 8:30,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd Street, Davenport",Don  & Doug Sprosty,7:00 - 9:30 Halloween Dance,,,,,,,
,FRIDAY,,31 OCTOBER,,,,,,,,,
,SATURDAY,,01 NOVEMBER,,,,,,,,,
SE,Lads & Lassies,MP,"IA State University Extension, 210 N Iowa, Knoxville",Don & Doug Sprosty,7:00 - 9;30,,,,,,,
,SUNDAY,,02 NOVEMBER,,,,,,,,,
SW,Union Squares,MP,"Crest City Lodge, 217 N. Pine, St., Creston",Doug McCart,2:00 - 4:30,,,,,,,
,MONDAY,,03 NOVEMBER,,,,,,,,,
,saT,,8 nov,,,,,,,,,
*,Ankeny Squares,MR,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Tom Manning / Carla Peck,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,manning.png,CarlaPeck.jpg,,
,FRIDAY,,14 nov,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Connie Graham  &  Wilma Randall,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,ConnieGraham.jpg,,,Guests $10
,SATURDAY,,22 nov,,,,,,,,,
*,Ankeny Squares,MR,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Gary Smith / Ed & Pat Schneiders,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,GarySmith.jpg,Schneiders.jpg,,
,FRIDAY,,12 dec,,,,,,,,,
*,GGG,mpL,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Don Boyer / JCM Lines,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,,JCM.jpg,,Guests $10
,saT,,13 dec,,,,,,,,,
*,Ankeny Squares,ML,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Doug McCart / JCM Lines,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,DougMcCart.webp,JCM.jpg,,
,FRIDAY,,9 jan 2026,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Barry Peck / Carla Peck,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,BarryPeck.jpg,CarlaPeck.jpg,,Guests $10
,FRIDAY,,23 jan,,,,,,,,,
*,GGG,MR,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Jack O’Leary / Ed & Pat Schneiders,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,,Schneiders.jpg,,Guests $10
,FRIDAY,,13 feb,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Don & Doug Sprosty,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,sprosty.jpg,,,Guests $10
,FRIDAY,,27 feb,,,,,,,,,
*,GGG,MR,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Gary Smith / Gary Smith,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,GarySmith.jpg,GarySmith.jpg,,Guests $10
,FRIDAY,,27 mar,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Doug McCart / Carla Peck,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,DougMcCart.webp,CarlaPeck.jpg,,Guests $10
,FRIDAY,,10 apr,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Mike Hogan / Amy Swift,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,hogan.jpg,AmySwift.jpg,,Guests $10
,FRIDAY,,24 apr,,,,,,,,,
*,GGG,mp,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Tom Manning /  JCM – line dance,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,manning.png,JCM.jpg,,Guests $10
,FRIDAY,,8 may,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Brian Freed / Carla Peck,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,,CarlaPeck.jpg,,Guests $10
